05/09/2006,21,18,16,17,16,13,100,85,70,1019,1017,1015,16,7,1,-,-,-,11.68,Rain,
06/09/2006,24,20,16,16,15,14,100,79,57,1017,1015,1014,16,10,3,-,-,-,0,Rain,
07/09/2006,27,22,16,16,14,13,90,68,45,1020,1018,1017,16,16,14,-,-,-,0,,
08/09/2006,27,23,19,17,16,14,81,63,45,1020,1018,1016,16,15,8,-,-,-,0,,
09/09/2006,28,24,19,17,15,12,81,59,37,1017,1016,1015,16,13,6,-,-,-,0,,
10/09/2006,23,20,17,15,13,8,78,65,52,1025,1022,1018,16,16,16,-,-,-,0,,
11/09/2006,21,17,13,12,8,6,75,56,37,1028,1027,1025,16,16,16,-,-,-,0,,
12/09/2006,21,16,11,8,5,1,71,49,27,1027,1025,1022,16,16,16,-,-,-,0,,
13/09/2006,19,17,13,14,11,8,73,68,63,1021,1019,1016,16,16,16,-,-,-,0,,
14/09/2006,19,19,18,18,17,14,93,86,78,1017,1016,1015,16,8,2,-,-,-,17.27,Rain,
15/09/2006,19,19,18,18,18,17,100,94,87,1019,1016,1014,16,6,1,-,-,-,25.15,Rain,
16/09/2006,26,22,18,17,17,15,93,75,56,1020,1019,1017,16,16,6,-,-,-,0.25,Rain,
17/09/2006,27,22,17,17,16,16,93,74,54,1017,1014,1012,16,16,16,-,-,-,0,,
18/09/2006,28,23,18,18,17,16,87,73,58,1013,1012,1011,16,16,16,-,-,-,0,,
19/09/2006,27,23,19,21,18,12,87,72,57,1011,1007,1005,16,11,4,13,3,39,0.25,Rain,
20/09/2006,22,18,14,13,9,7,78,62,45,1012,1007,1005,16,16,16,27,11,42,0,,
21/09/2006,20,16,11,8,6,4,71,56,40,1021,1017,1012,16,16,16,19,6,29,0,,
22/09/2006,21,16,12,12,9,7,83,64,44,1024,1022,1019,16,16,16,19,5,35,0,,
23/09/2006,24,21,17,19,17,12,93,80,67,1019,1013,1009,16,11,3,19,8,37,2.54,Rain,
24/09/2006,26,23,19,21,18,13,90,74,57,1008,1005,1002,16,12,6,26,10,47,0.25,Rain,
25/09/2006,22,19,17,12,9,8,67,56,44,1012,1009,1006,16,16,16,23,10,39,0,,
26/09/2006,23,18,14,9,7,5,62,48,34,1017,1015,1012,16,16,16,19,6,27,0,,
27/09/2006,23,18,13,15,12,8,86,72,57,1018,1016,1014,16,16,16,13,6,29,0,,
28/09/2006,24,21,17,17,14,11,84,65,46,1014,1011,1006,16,16,16,21,8,39,0.25,,
29/09/2006,19,16,12,17,11,3,96,70,44,1017,1008,1004,16,14,4,24,7,37,1.78,Rain,
30/09/2006,19,14,9,11,7,4,80,63,45,1022,1020,1017,16,16,16,19,6,35,T,,
01/10/2006,20,17,13,16,13,9,96,76,56,1018,1016,1014,16,10,1,19,6,37,8.89,Rain,
02/10/2006,20,16,12,9,8,7,83,64,45,1022,1020,1018,16,16,16,19,6,-,0,,
03/10/2006,26,20,13,14,12,9,77,61,45,1023,1021,1019,16,16,16,19,6,29,0,,
04/10/2006,26,22,18,18,16,14,84,69,54,1020,1016,1012,16,12,1,21,6,35,15.75,Rain,
05/10/2006,19,15,11,18,11,4,93,70,46,1024,1019,1013,16,14,3,26,10,39,1.27,Rain,
06/10/2006,14,13,11,7,5,3,71,59,47,1029,1028,1024,16,16,16,29,14,48,T,,
07/10/2006,17,14,11,9,7,3,77,66,54,1029,1028,1027,16,16,16,27,12,40,T,,
08/10/2006,22,16,11,11,9,6,89,64,39,1028,1026,1023,16,16,16,10,1,14,0,,
09/10/2006,26,19,13,15,12,7,83,66,48,1023,1020,1017,16,16,16,13,3,21,0,,
10/10/2006,24,19,14,14,12,9,84,63,41,1017,1016,1014,16,16,16,19,5,27,0,,
11/10/2006,17,16,15,15,13,11,93,83,72,1017,1011,1004,16,9,1,26,11,37,40.89,Rain,
12/10/2006,20,15,10,17,13,-6,100,63,26,1007,1001,1000,16,7,2,29,9,56,7.87,Rain,
13/10/2006,13,9,5,1,-3,-8,56,45,33,1013,1011,1008,16,16,16,23,9,42,0,,
14/10/2006,15,11,6,1,-2,-5,65,47,28,1015,1011,1008,16,16,16,26,9,48,0,,
15/10/2006,14,10,6,2,-1,-2,62,49,35,1022,1018,1015,16,16,16,23,7,37,0,,
16/10/2006,16,11,6,6,3,-1,76,55,33,1027,1025,1022,16,16,13,16,4,26,0,,
17/10/2006,16,14,12,15,11,6,96,79,61,1025,1019,1011,16,8,2,23,10,48,27.69,Rain,
18/10/2006,22,19,16,17,15,11,100,80,59,1011,1010,1009,16,9,3,16,7,45,0.25,,
19/10/2006,20,17,14,16,13,11,86,77,67,1012,1009,1005,16,13,5,16,4,29,1.27,Rain,
20/10/2006,19,14,8,18,14,1,93,74,54,1008,1000,992,16,6,1,35,10,69,11.43,"Fog , Rain",
21/10/2006,14,11,7,3,1,-1,70,56,41,1017,1014,1009,16,16,16,27,9,48,0,,
22/10/2006,15,12,8,9,6,3,86,69,51,1017,1013,1006,16,16,13,19,5,27,0,,
23/10/2006,13,10,7,8,1,-3,77,59,41,1007,1006,1005,16,16,16,26,10,42,0,,
24/10/2006,11,8,5,-1,-1,-2,65,53,41,1009,1006,1005,16,16,16,24,12,40,0,,
25/10/2006,13,9,6,1,-1,-2,67,54,41,1016,1012,1009,16,16,16,29,13,50,0,,
26/10/2006,10,7,4,0,-1,-2,68,56,44,1022,1019,1016,16,16,16,19,10,35,0,,
27/10/2006,11,7,3,7,2,-2,93,70,46,1023,1019,1012,16,13,5,16,4,40,8.13,Rain,
28/10/2006,19,14,8,17,11,-1,100,75,49,1011,995,985,16,7,1,39,15,66,56.39,"Fog , Rain",
29/10/2006,12,9,7,0,-4,-7,58,43,28,1013,1003,994,16,16,16,37,18,74,0,,
30/10/2006,16,11,7,2,-2,-5,49,38,26,1018,1016,1013,16,16,16,21,11,39,0,,
31/10/2006,20,16,11,8,7,3,66,54,42,1017,1014,1011,16,16,16,19,9,35,0,,
01/11/2006,21,17,14,11,9,8,77,65,52,1016,1014,1012,16,16,16,14,5,32,0.25,Rain,
02/11/2006,16,11,6,10,3,-3,93,66,39,1019,1015,1011,16,14,4,23,8,47,6.6,Rain,
03/11/2006,8,6,2,-3,-6,-7,59,47,34,1029,1025,1020,16,16,16,23,9,35,0,,
04/11/2006,8,5,2,-4,-6,-8,64,49,33,1034,1032,1030,16,16,16,16,5,26,0,,
05/11/2006,10,7,3,-1,-4,-6,64,49,34,1035,1033,1032,16,16,16,16,3,24,0,,
06/11/2006,13,9,5,2,-2,-4,62,47,32,1032,1030,1028,16,16,16,19,6,26,0,,
07/11/2006,15,12,8,13,8,1,93,73,52,1027,1022,1016,16,12,2,16,4,24,0.51,Rain,
08/11/2006,15,14,13,14,13,12,100,97,93,1016,1005,996,10,4,1,26,8,37,91.44,"Fog , Rain",
09/11/2006,20,17,13,13,11,7,93,73,52,1003,1000,996,16,16,14,19,8,32,0,,
10/11/2006,16,13,11,7,3,2,61,50,39,1017,1013,1004,16,16,16,24,6,40,0,,
11/11/2006,19,14,9,14,11,4,90,75,59,1017,1014,1011,16,12,8,19,7,34,0,,
12/11/2006,16,13,9,15,12,7,96,87,78,1017,1014,1011,16,7,2,27,11,39,7.37,Rain,
13/11/2006,16,14,11,14,13,10,96,88,80,1016,1012,1008,16,12,3,37,21,61,10.92,Rain,
14/11/2006,16,14,12,13,11,10,93,83,72,1013,1009,1006,16,15,8,21,6,42,2.03,Rain,
15/11/2006,17,16,13,14,13,11,90,84,78,1016,1015,1012,16,11,5,14,5,27,0,,
16/11/2006,21,18,15,17,16,14,96,86,76,1016,1008,1001,16,10,1,27,10,63,18.54,Rain,
17/11/2006,18,13,9,16,8,0,93,70,46,1013,1006,1001,16,16,13,27,10,45,0,,
18/11/2006,12,9,6,1,1,0,65,57,48,1015,1014,1013,16,16,16,19,7,29,0,,
19/11/2006,9,7,6,1,0,-2,70,60,49,1014,1013,1012,16,16,16,16,6,47,0,,
20/11/2006,7,6,3,-2,-3,-4,64,57,49,1028,1020,1014,16,16,16,19,8,29,0,,
21/11/2006,8,5,2,-2,-4,-5,64,53,42,1033,1031,1028,16,16,16,21,9,27,0,,
22/11/2006,8,6,3,1,-3,-6,70,54,37,1031,1027,1024,16,16,16,34,20,50,0.25,Rain,
23/11/2006,7,6,4,4,3,1,93,82,70,1025,1020,1014,16,9,3,39,16,56,43.69,Rain,
24/11/2006,14,10,5,3,-4,-9,93,59,24,1026,1020,1014,16,16,6,24,11,47,4.83,Rain,
25/11/2006,12,8,4,5,2,-5,83,62,41,1030,1028,1026,16,16,16,16,7,47,0,,
26/11/2006,15,11,7,6,5,4,83,67,51,1028,1027,1026,16,16,16,23,6,35,0,,
27/11/2006,18,13,8,7,6,5,83,64,45,1027,1025,1023,16,14,10,16,4,29,0,,
28/11/2006,14,13,11,8,7,6,83,72,61,1030,1027,1024,16,11,8,19,6,47,0,,
